metric,Logistic Regression,NN
accuracy,0.7466467958271237,0.7749627421758569
precision,0.898876404494382,0.8642533936651584
recall,0.5128205128205128,0.6121794871794872
f1,0.6530612244897959,0.7166979362101313
baseline_conversion_at,46.49776453055141,46.49776453055141
true_neg,341.0,329.0
false_pos,18.0,30.0
false_neg,152.0,121.0
true_pos,160.0,191.0
precision_at_10%,1.0,1.0
lift_at_10%,2.150641025641025,2.150641025641025
precision_at_20%,0.9477611940298508,0.9552238805970148
lift_at_20%,2.0382941063911213,2.0543436662839647
precision_at_30%,0.8756218905472637,0.8905472636815921
lift_at_30%,1.883148360760301,1.915247480545988
precision_at_40%,0.8395522388059702,0.7910447761194029
lift_at_40%,1.805575487944891,1.7012533486414083
precision_at_50%,0.7611940298507462,0.7223880597014926
lift_at_50%,1.6370551090700345,1.5535973976272484
