metric,NN
accuracy,0.7749627421758569
precision,0.8642533936651584
recall,0.6121794871794872
f1,0.7166979362101313
baseline_conversion_at,46.497764530551414
true_neg,329.0
false_pos,30.0
false_neg,121.0
true_pos,191.0
precision_at_10%,1.0
lift_at_10%,2.1506410256410255
precision_at_20%,0.9552238805970149
lift_at_20%,2.0543436662839647
precision_at_30%,0.8905472636815921
lift_at_30%,1.915247480545988
precision_at_40%,0.7910447761194029
lift_at_40%,1.7012533486414083
precision_at_50%,0.7223880597014926
lift_at_50%,1.5535973976272484
